time,HS,d,f,lw_in,lw_out,rh,sw_in,sw_out,t,max_glob,max_diff,max_direct,max_up,Diff_ratio,Glob_sum_ratio,f_QC1,HS_QC1,lw_out_QC1,d_QC1,sw_in_QC1,lw_in_QC1,t_QC1,sw_out_QC1,rh_QC1
1996-07-18 03:00:00,1.5010478,189.52222,7.3672333,305.02638,306.6285,98.26,1.193611,1.1454358999999998,2.5367333,259.1283107364992,150.7812634664495,161.58092479472913,177.30264858919935,0.5818787728669872,5378.8847503481775,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 04:00:00,1.5032944,198.46985,9.7936667,313.83972,306.7584700000001,97.696667,10.643648,7.1199512999999985,2.6477667,417.97360905211036,251.38328573300322,287.69111047070646,304.3788872416883,0.6014333926562868,118.61793015616529,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 05:00:00,1.5054527,194.53534,8.769666699999998,299.95452,306.76218,97.483333,34.895191,22.205715,2.5204,606.5935765570496,370.8425984861314,424.1149791328766,455.2748612456396,0.611352663163676,47.802886152040465,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 06:00:00,1.507808,196.9848,8.0382667,290.25198,306.7956,98.566667,86.078231,53.767547,2.4564333,808.8671939262082,498.9492228199318,561.1400639141764,617.0937551409664,0.6168493747385806,25.03404737350061,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 07:00:00,1.5081108,181.27461,7.3737667,281.10348,307.33775,98.616667,244.51225,144.79632,2.6001,1007.3003624312556,624.6235628731284,689.2759350042408,775.8402899450044,0.6200966327119302,10.101699522145115,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 08:00:00,1.509853,187.58626,9.6993,324.90684,308.01729,99.963333,317.0771299999999,194.60045,2.6867333,1184.4352782494598,736.8090095579911,799.7180718443041,917.5482225995676,0.622076210569277,9.670700399859474,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 09:00:00,1.515947,175.64827,10.375667,298.92168,307.36374,100.0,279.86731000000003,174.93443,2.4115667000000003,1324.4788907283573,825.503297461293,884.8981718384614,1029.5831125826858,0.6232664810590769,12.622153234795013,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 10:00:00,1.5196651,173.5097,9.394,304.6467600000001,308.2252299999999,99.966667,248.73582,161.73924,2.7928667000000003,1414.8273730066473,882.72400290421,938.9832096547025,1101.8618984053178,0.6239093332130935,16.263022902815806,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 11:00:00,1.5221023,170.92994,8.744333300000001,316.94166,309.0458799999999,100.0,215.57591,142.83041,2.4481,1447.2958113247535,903.2873471723437,958.2665870815565,1127.8366490598025,0.6241207499561113,19.895331138348812,Good,Good,Good,Good,Good,Good,Good,Good,Good
1996-07-18 12:00:00,1.5232641000000002,172.54615,9.752,303.51474,308.94933,99.69,241.00071,159.51283,2.5327667000000003,1418.9202283733193,885.3161446364354,941.4183371549375,1105.1361826986551,0.6239365166083938,17.412653616382208,Good,Good,Good,Good,Good,Good,Good,Good,Good
